No, Breed, Country, NoSamp, Age, Npsua, Npua, NsovNp, Dp,Ds,Dps,DpovDs
1, Early Fine Merino, NSW, 21, 11-18, 60.2, 4.0, 14.0, 19.2, 17.2, 17.3, 1.12
2, Tas. Fine Merino, Tas, 21, 12-14, 73.3, 3.5, 19.6, 18.3, 17.8, 17.9, 1.03
3, Tas. Fine Merino, Scot, 11, 12-14, 62.0, 3.0, 20.3, 21.3, 20.9, 20.9, 1.02
4, Tas. Fine Merino, Tas, 21, 12-14, 72.8, 3.4, 20.7, 19.2, 16.8, 16.9, 1.17
5, Tas. Fine Merino, NSW, 20, 8-9, 59.9, 2.5, 22.8, 18.4, 19.8, 19.7, 0.93
6, Tas. Fine Merino, Vic, 21, 14-15, 79.6, 3.6, 21.1, 19.3, 16.7, 16.8, 1.15
7, Tas. Fine Merino, NSW, 24, 36, 48.6, 2.4, 19.4, 19.0, 18.8, 18.8, 1.01
8, Tas. Fine Merino, NSW, 16, 36, 46.6, 2.7, 16.7, 20.6, 18.1, 18.3, 1.15
9, Tas. Fine Merino, Scot, 11, 36, 54.5, 2.6, 20.4, 21.8, 21.7, 21.7, 1.01
10, Vic. Fine Merino, Vic, 21, 14-15, 57.2, 3.5, 15.3, 20.2, 18.0, 18.1, 1.12
11, Vic. Fine Merino, Vic, 11, 14-15, 62.3, 3.7, 16.0, 18.3, 15.9, 16.1, 1.16
12, Vic. Fine Merino, Vic, 13, 14-15, 76.4, 3.8, 19.6, 15.8, 15.7, 15.7, 1.01
13, Vic. Fine Merino, Vic, 21, 14-15, 71.3, 3.5, 19.8, 22.7, 19.9, 20.0, 1.15
14, NSW Fine Merino, NSW, 21, 10-12, 87.4, 3.4, 24.7, 19.0, 17.1, 17.2, 1.13
15, Non-Peppin Fine-Medium Merino, NSW, 25, 60-72, 43.1, 2.2, 20.7, 23.0, 22.6, 22.6, 1.02
16, Non-Peppin Fine-Medium Merino, NSW, 22, 60-72, 50.1, 2.3, 21.3, 22.3, 21.0, 21.1, 1.07
17, Non-Peppin Medium Merino, NSW, 22, 14-15, 55.6, 2.4, 22.6, 26.6, 22.3, 22.5, 1.20
18, Peppin Medium Merino, NSW, 30, 15-18, 57.1, 2.8, 19.7, 29.8, 23.7, 24.0, 1.26
19, Peppin Medium Merino, NSW, 20, 15-18, 63.4, 3.1, 19.7, 25.1, 17.8, 18.1, 1.43
20, Peppin Medium Merino, NSW, 20, 18-20, 63.4, 2.8, 27.4, 28.0, 22.8, 22.9, 1.23
21, Peppin Medium Merino, NSW, 20, 18-20, 58.6, 2.4, 24.2, 25.6, 23.2, 23.3, 1.11
22, Peppin Medium Merino, Vic, 21, 14-15, 72.9, 3.5, 20.0, 21.6, 17.1, 17.3, 1.27
23, Peppin Medium Merino, Vic, 15, 12-14, 65.7, 2.8, 22.4, 25.5, 19.9, 20.2, 1.28
24, Peppin Medium Merino, Vic, 11, 14-15, 65.2, 3.4, 18.5, 21.1, 16.8, 17.0, 1.27
25, Peppin Medium Merino, Tas, 21, 12-14, 79.8, 4.0, 19.0, 22.5, 19.2, 19.4, 1.18
26, SA Strong Merino, SA, 21, 12-15, 64.8, 4.0, 15.9, 29.7, 22.5, 22.9, 1.33
27, SA Strong Merino, SA, 21, 12-15, 53.5, 3.0, 16.8, 30.8, 23.7, 24.1, 1.30
28, SA Strong Merino, SA, 21, 12-15, 53.1, 2.8, 18.5, 32.6, 24.7, 25.1, 1.32
29, Early Fine Merino (Rambouillet), France, 20, 12, 50.4, 4.1, 11.5, 24.3, 21.1, 21.3, 1.15
30, Early Fine Merino (Rambouillet), France, 18, 14, 44.5, 2.8, 15.4, 21.5, 19.1, 19.2, 1.13
31, American Rambouillet, USA, 12, 18, 35.2, 2.4, 13.9, 27.2, 23.4, 23.7, 1.17
32, American Rambouillet, Turkey, 21, 36, 40.8, 2.4, 16.5, 21.6, 21.7, 21.6, 0.99
33, American Merino, USA, 12, 18, 43.0, 2.5, 16.0, 23.3, 18.9, 19.2, 1.25
34, American Merino, Italy, 8, 24-84, 40.3, 3.1, 12.5, 19.3, 17.6, 17.7, 1.10
35, Debouillet, USA, 12, 12, 44.9, 3.0, 14.3, 21.5, 16.2, 16.6, 1.34
36, Merino Tor Mancina, Italy, 8, 48-84, 35.7, 2.6, 13.0, 21.4, 19.4, 19.5, 1.10
37, Improved Apulian, Italy, 8, 24-84, 29.3, 2.3, 11.8, 20.7, 20.4, 20.4, 1.02
38, German Merinofleischaf, Turkey, 21, 36, 30.5, 2.1, 14.0, 20.6, 21.3, 21.1, 0.94
39, German Merinolandschaf, Turkey, 19, 36, 31.5, 2.7, 10.7, 28.5, 24.3, 26.4, 1.10
40, Turkish Merino, Turkey, 21, 36, 27.1, 2.4, 10.7, 23.0, 21.6, 22.3, 1.06
41, Portuguese Merino, Portugal, 12, 24-84, 23.2, 3.1, 6.7, 26.1, 23.5, 23.9, 1.11
42, Polwarth, NSW, 21, 14-15, 52.5, 3.8, 12.8, 23.8, 19.2, 19.5, 1.25
43, Polwarth, NSW, 21, 14-15, 54.0, 4.3, 11.8, 23.6, 21.3, 21.5, 1.11
44, Polwarth, Vic, 21, 13-14, 44.1, 2.8, 15.0, 26.7, 23.7, 23.9, 1.13
45, Polwarth, Vic, 11, 14-15, 46.9, 3.2, 13.5, 21.6, 17.4, 17.7, 1.24
46, Targhee, USA, 12, 18, 27.6, 2.0, 13.0, 28.6, 25.4, 25.6, 1.13
47, Corriedale, NSW, 21, 11-12, 23.1, 2.1, 10.1, 32.8, 33.8, 33.6, 0.97
48, Corriedale, NSW, 21, 11-12, 30.0, 2.5, 11.0, 33.8, 31.7, 31.9, 1.07
49, Corriedale, NSW, 21, 7-8, 31.1, 2.7, 10.8, 31.4, 31.5, 31.5, 1.00
50, Corriedale, NSW, 19, 36, 19.0, 1.8, 9.4, 37.0, 30.4, 31.0, 1.23
51, Corriedale, Tas, 19, 36, 22.3, 2.0, 10.5, 32.7, 33.8, 33.7, 0.97
52, Corriedale, USA, 12, 12-72, 15.9, 1.7, 8.4, 29.1, 26.3, 26.7, 1.12
53, Columbia, USA, 12, 18, 20.9, 1.8, 10.6, 29.7, 28.4, 28.8, 1.04
54, Sopravissano Rossi, Italy, 8, 24-84, 23.4, 2.4, 8.6, 25.6, 22.7, 23.0, 1.12
55, Ile-de-France, France, 14, 24-96, 20.3, 2.5, 7.1, 33.2, 29.3, 29.7, 1.14
56, Ile-de-France, Italy, 8, 24-84, 12.6, 1.7, 6.4, 27.2, 27.4, 27.4, 0.99
57, Southdown, UK, 18, 3, 31.1, 4.8, 5.5, 27.4, 27.5, 27.5, 1.00
58, Southdown, NSW, 21, 11-12, 27.8, 3.9, 6.3, 26.1, 25.2, 25.4, 1.04
59, Southdown, UK, 12, 18, 16.9, 2.7, 5.7, 34.1, 32.9, 33.1, 1.02
60, Dorset Horn, NSW, 19, 11-12, 18.5, 2.9, 5.4, 33.6, 34.6, 34.4, 0.97
61, Suffolk, Vic, 21, 11-12, 20.4, 3.5, 4.8, 26.0, 23.1, 23.6, 1.13
62, Ryeland, NSW, 21, 11-12, 15.8, 2.5, 5.5, 31.6, 31.5, 31.5, 1.00
63, Ryeland, NSW, 16, 24, 11.2, 1.7, 5.6, 29.5, 27.2, 27.5, 1.13
64, Romney Marsh, NSW, 21, 11-12, 22.0, 3.4, 5.5, 37.2, 32.9, 33.6, 1.13
65, Romney Marsh, NZ, 20, 18, 15.3, 2.5, 5.1, 40.6, 32.1, 33.4, 1.30
66, Border Leicester, NSW, 21, 11-12, 15.8, 2.9, 4.4, 45.6, 33.8, 36.0, 1.36
67, Border Leicester, UK, 33, 18, 15.9, 3.1, 4.2, 41.1, 33.1, 34.7, 1.24
68, English Leicester, Vic, 21, 11-12, 14.4, 2.5, 4.9, 41.8, 36.0, 36.2, 1.20
69, Lincoln, UK, 15, 3, 18.4, 3.3, 4.7, 48.3, 32.0, 35.0, 1.52
70, Lincoln, Vic, 21, 10-11, 14.6, 2.3, 5.4, 59.0, 40.8, 44.2, 1.44
71, Lincoln, UK, 24, 18, 11.5, 2.0, 4.7, 60.0, 39.9, 43.5, 1.51
72, Cheviot, UK, 21, 3, 19.9, 3.8, 4.2, 36.5, 31.4, 33.0, 1.19
73, Cheviot, UK, 18, 7-8, 14.6, 2.7, 4.5, 25.8, 19.9, 21.0, 1.32
74, Cheviot, UK, 40, 18, 10.2, 2.1, 3.9, 49.8, 39.5, 41.8, 1.25
75, Welsh Mountain, UK, 15, 3, 21.3, 4.2, 4.2, 60.3, 28.6, 34.9, 2.20
76, Welsh Mountain, UK, 25, 18, 13.8, 2.8, 4.0, 55.4, 25.2, 31.5, 2.20
77, Welsh Mountain, UK, 40, 18, 11.9, 2.4, 4.1, 80.5, 32.0, 41.0, 2.50
78, Scottish Blackface, UK, 24, 3, 12.2, 2.9, 2.2, 77.1, 32.2, 43.0, 2.42
79, Scottish Blackface, UK, 10, 7-8, 9.1, 2.4, 2.9, 69.5, 21.1, 34.2, 3.20
80, Scottish Blackface, UK, 40, 18, 7.7, 1.7, 3.5, 109.7, 30.0, 52.5, 3.66
81, Scottish Blackface, UK, 18, 24, 7.0, 1.7, 3.2, 94.5, 34.5, 48.9, 2.74
82, Swaledale, UK, 11, 4, 10.2, 2.6, 3.1, 94.9, 29.8, 45.9, 3.22
83, Swaledale, UK, 11, 24, 8.3, 2.0, 3.1, 70.5, 26.5, 38.1, 2.66
84, Wiltshire Horn, UK, 15, 5, 13.9, 2.8, 4.1, 59.7, 34.1, 39.3, 1.73
85, Wiltshire Horn, UK, 18, 9-10, 11.8, 2.6, 3.3, 58.0, 33.7, 39.0, 1.72
86, Icelandic, Iceland, 20, 24, 12.3, 1.5, 7.4, 65.9, 28.0, 32.7, 2.36
87, Swedish Landrace (Fine), Sweden, 13, 16-17, 14.5, 1.8, 7.1, 57.2, 36.5, 39.0, 1.57
88, Swedish Landrace (Carpet), Sweden, 23, 16-17, 12.8, 2.1, 5.2, 73.2, 36.0, 42.2, 2.03
89, Navajo, USA, 12, 18, 11.3, 1.8, 5.2, 41.9, 34.2, 35.7, 1.22
90, Prealpes du Sud, France, 12, 18, 13.7, 2.4, 4.9, 39.8, 33.7, 34.9, 1.19
91, Limousin, France, 12, 18, 11.0, 2.0, 4.6, 67.8, 33.1, 39.4, 2.05
92, Soay, UK_St.Kilda, 8, 12-60, 18.3, 3.6, 4.2, 42.1, 17.2, 22.1, 2.45
